"1-molssaeavttut","1-valinnat"
"dušše olles sánit","vain kokonaiset sanat"
"d-bus-kommunikašuvdnameattáhus","d-bus-kommunikointivirhe"
"dasd s (s","dasd s (s"
"dasd s (s), partišuvdnanr.s","dasd s (s), levyosio nro s"
"date(200 0;5;5) dieđiha bearjadat, miessemnu 5. b. 200 0","date(200 0;5;5) palauttaa perjantai, 5. toukokuuta 200 0"
"date(jahki;mánnu;dáhton","date(vuosi;kuukausi;päivämäärä"
"datevalue(\"200 2-0 2-2 2\ dieđiha 3730 9","datevalue(\"2/2 2/200 2\ palauttaa 3730 9"
"datevalue(dáhton","datevalue(päivämäärä"
"daverage(a1c 5; \"bálká\"; a9a1 1","daverage(a1c 5; \"palkka\"; a9a1 1"
"daverage(diehtovuođđu; \"bajilčála\"; eavttut","daverage(tietokanta; \"otsikko\"; ehdot"
"day(\"200 2-0 2-2 2\ dieđiha 2 2","day(\"2 2.2.200 2\ palauttaa 2 2"
"day(232 3,128 5) dieđiha 1 1","day(232 3.128 5) palauttaa 1 1"
"day(dáhton","day(päivämäärä"
"dayname(vahkkobeaivenummir","dayname(viikonpäivä"
"dayofyear()-funkšuvdna dieđiha beaivvi nummira jagis (1...365).","funktio dayofyear() palauttaa päivän järjestysnumeron kalenterivuonna (1...36 5)."
"dayofyear(200 0;1 2;1) dieđiha 33 6","dayofyear(200 0;1 2;1) palauttaa 33 6"
"dayofyear(200 0;2;2 9) dieđiha 6 0","dayofyear(200 0;2;2 9) palauttaa 6 0"
"dayofyear(jahki;mánnu;dáhton","dayofyear(vuosi;kuukausi;päivämäärä"
"days(\"200 2-0 2-2 2\"; \"200 2-0 2-2 6\ dieđiha 4","days(\"2 2.2.200 2\"; \"2 6.2.200 2\ palauttaa 4"
"daysinmonth(200 0;2) dieđiha 2 9","daysinmonth(200 0;2) palauttaa 2 9"
"daysinmonth(jahki;mánnu","daysinmonth(vuosi;kuukausi"
"daysinyear(200 0) dieđiha 36 6","daysinyear(200 0) palauttaa 36 6"
"daysinyear(jahki","daysinyear(vuosi"
"db(800 0;40 0;6;3) dieđiha 115 8,4 0","db(800 0;40 0;6;3) tuloksena on 115 8.4 0"
"db(800 0;40 0;6;3;2) dieđiha 178 3,4 1","db(800 0;40 0;6;3;2) tuloksena on 178 3.4 1"
"db-20 8 (3 trays","db-20 8 (3 kaukaloa"
"db-20 8a (1 gárri","db-20 8a (1 kaukalo"
"db-60 8 (2 trays","db-60 8 (2 kaukaloa"
"dcount(a1c 5; \"bálká\"; a9a1 1","dcount(a1c 5; \"palkka\"; a9a1 1"
"dcount(diehtovuođđu; \"bajilčála\"; eavttut","dcount(tietokanta; \"otsikko\"; ehdot"
"dcounta(a1c 5; \"bálká\"; a9a1 1","dcounta(a1c 5; \"palkka\"; a9a1 1"
"dcounta(diehtovuođđu; \"bajilčála\"; eavttut","dcounta(tietokanta; \"otsikko\"; ehdot"
"dctc-lakta","dctc-käyttöliittymä"
"dd","tt"
"dd.mm.ss. pd.mm.ss","ttmmss ptmmss ampm"
"ddb(7500 0;1;6 0;1 2;2) dieđiha 172 1,8 1","ddb(7500 0;1;6 0;1 2;2) palauttaa 172 1.8 1"
"dec vt42 0-terminála","dec vt42 0 -pääte"
"dec 2bin()-funkšuvdna jorgala desimálalogu binearalohkun.","funktio dec 2bin() palauttaa arvon binäärilukuna."
"dec 2bin(1 2) dieđiha '110 0'","dec 2bin(1 2) palauttaa \"110 0\""
"dec 2bin(5 5) dieđiha '11011 1'","dec 2bin(5 5) palauttaa \"11011 1\""
"dec 2bin(árvu","dec 2bin(arvo"
"dec 2hex()-funkšuvdna jorgala desimálalogu heksadesimála lohkun.","funktio dec 2hex() palauttaa arvon heksadesimaalilukuna."
"dec 2hex(1 2) dieđiha 'c'","dec 2hex(1 2) palauttaa \"c\""
"dec 2hex(5 5) dieđiha '3 7'","dec 2hex(5 5) palauttaa \"3 7\""
"dec 2hex(árvu","dec 2hex(arvo"
"dec 2oct()-funkšuvdna jorgala desimálalogu oktálalohkun.","funktio dec 2oct(x) palauttaa arvon oktaalilukuna."
"dec 2oct(1 2) dieđiha '1 4'","dec 2oct(1 2) palauttaa \"1 4\""
"dec 2oct(5 5) dieđiha '6 7'","dec 2oct(5 5) palauttaa \"6 7\""
"dec 2oct(árvu","dec 2oct(arvo"
"decsex(\"80 5\ dieđiha 8,0833333 3","decsex(\"80 5\ palauttaa 8.0833333 3"
"decsex()-funkšuvdna jorgala desimálaárvvu áigin.","funktio decsex() muuttaa double-arvon aika-arvoksi."
"decsex(1,666 8) dieđiha 14 0","decsex(1.666 8) palauttaa 14 0"
"decsex(7,8) dieđiha 74 7","decsex(7.8) palauttaa 74 7"
"decsex(desimálalohku","decsex(double"
"degrees(0,7 8) dieđiha 4 4,6 9","degrees(0.7 8) on 4 4.6 9"
"degrees(1) dieđiha 5 7,2 9","degrees(1) on 5 7.2 9"
"degrees(desimálaárvu","degrees(liukuluku"
"delta(1,2; 3,4) dieđiha 0","delta(1.2; 3.4) palauttaa 0"
"delta(1; true) dieđiha 1","delta(1; true) palauttaa 1"
"delta(3; 3) dieđiha 1","delta(3; 3) palauttaa 1"
"delta(x; y","delta(x; y"
"devsq(2 1; 3 3; 5 4; 2 3) dieđiha 68 4,7 5","devsq(2 1; 3 3; 5 4; 2 3) palauttaa arvon 68 4.7 5"
"devsq(a1a 5","devsq(a1a 5"
"devsq(árvu; árvu;...","devsq(arvo; arvo;..."
"dget(a1c 5; \"bálká\"; a9a1 1","dget(a1c 5; \"palkka\"; a9a1 1"
"dget(diehtovuođđu; \"bajilčála\"; eavttut","dget(tietokanta; \"otsikko\"; ehdot"
"dhcp-guossoheaddjenamma","dhcpn konenimi"
"dic","dic"
"disc(\"200 1-0 2-2 8\"; \"200 1-0 1-3 1\"; 1 2; 1 4) dieđiha 0,284 1","disc(\"2/2 8/200 1\"; \"8/3 1/200 1\"; 1 2; 1 4) palauttaa 0.284 1"
"div(2 5;2,5) dieđiha 1 0","div(2 5;2.5) palauttaa 1 0"
"divo_mu čále dokumentašuvnna","fixme dokumentoi tämä"
"dj-mikser ja -čuojan","dj-mikseri ja soitin"
"djf","djf"
"djplay","djplay"
"dkk","dkk"
"dl","dl"
"dl env","dl kirje"
"dl env (11 0 × 22 0 mm","dl env (11 0 x 22 0 mm"
"dl-konfaluhtta","dl kirjekuori"
"dl-konfaluhtta 11 0 × 22 0 mm","dl kirjekuori 11 0 x 22 0 mm"
"dm","dm"
"dmax(a1c 5; \"bálká\"; a9a1 1","dmax(a1c 5; \"palkka\"; a9a1 1"
"dmax(diehtovuođđu; \"bajilčála\"; eavttut","dmax(tietokanta; \"otsikko\"; ehdot"
"dmin(a1c 5; \"bálká\"; a9a1 1","dmin(a1c 5; \"palkka\"; a9a1 1"
"dmin(diehtovuođđu; \"bajilčála\"; eavttut","dmin(tietokanta; \"otsikko\"; ehdot"
"dop","dop"
"dproduct(a1c 5; \"bálká\"; a9a1 1","dproduct(a1c 5; \"palkka\"; a9a1 1"
"dproduct(diehtovuođđu; \"bajilčála\"; eavttut","dproduct(tietokanta; \"otsikko\"; ehdot"
"dstdev(a1c 5; \"bálká\"; a9a1 1","dstdev(a1c 5; \"palkka\"; a9a1 1"
"dstdev(diehtovuođđu; \"bajilčála\"; eavttut","dstdev(tietokanta; \"otsikko\"; ehdot"
"dstdevp(a1c 5; \"bálká\"; a9a1 1","dstdevp(a1c 5; \"palkka\"; a9a1 1"
"dstdevp(diehtovuođđu; \"bajilčála\"; eavttut","dstdevp(tietokanta; \"otsikko\"; ehdot"
"dsum(a1c 5; \"bálká\"; a9a1 1","dsum(a1c 5; \"palkka\"; a9a1 1"
"dsum(diehtovuođđu; \"bajilčála\"; eavttut","dsum(tietokanta; \"otsikko\"; ehdot"
"duration(0,1; 100 0; 200 0) dieđiha 7,2 7","duration(0.1; 100 0; 200 0) palauttaa 7.2 7"
"dv-stivrran","tietokanta-ajuri"
"dvar(a1c 5; \"bálká\"; a9a1 1","dvar(a1c 5; \"palkka\"; a9a1 1"
"dvar(diehtovuođđu; \"bajilčála\"; eavttut","dvar(tietokanta; \"otsikko\"; ehdot"
"dvarp(a1c 5; \"bálká\"; a9a1 1","dvarp(a1c 5; \"palkka\"; a9a1 1"
"dvarp(diehtovuođđu; \"bajilčála\"; eavttut","dvarp(tietokanta; \"otsikko\"; ehdot"
"dvd-čuojan","dvd-soitin"
"dvi čájeheaddji","gnomen microsoft access -tietokantatiedostojen katselin"
"dzd","dzd"
"daga ieš gaskabálvaheivehusaid","määrittele välityspalvelimen asetukset itse"
"daga ieš gaskabálvaheivehusaid.","syötä välityspalvelinten asetukset itse."
"daga listu dušše rabas máhpain","luettele vain avatut kansiot"
"daga ođđasit 1","tee uudelleen (1"
"daga ođđasit 1","re 1"
"dagaha (dušše muhtun vearbbat","syy johonkin (vain jotkut verbit"
"dalasi","dalasi"
"dale m. flaven","dale m. flaven"
"daniel m. duley","daniel m. duley"
"daniel naber","daniel naber"
"daniel stone","jälleenmyyntikaupat"
"dante socks klieanta","dante socks -asiakas"
"dasalassin, merke návdejuvvon virusreivviid lohkon","merkitse viruksia sisältävät viestit myös luetuiksi"
"dasto dán bokte","seuraava lajitteluperuste"
"data display debugger","ddd-vianjäljitysohjelma"
"davrrasdivvon dán háve","kiharakorjaus nykyisellä viennillä"
"davvi-korea won","pohjois-korean won"
"deaddil 1","paina 1"
"deaddil dán boalu heiveheit diagrámma dovddana ivnni.","napsauta tästä painikkeesta valitaksesi tunnistimen värin kaaviossa."
"deaddil dán boalu heivehit dán gilkora.","muokkaa selitettä napsauttamalla tätä painiketta."
"deaddil dán boalu lasihit ođđa govvenapperáhta","napsauta tästä lisätäksesi uuden kameran."
"deaddil dán boalu ráhkadan dihte automáhtalaš girjemearkkaid.","napsauta tätä nappia luodaksesi uuden automaattikirjanmerkin."
"deaddil dán boalu sihkut dovddana.","poista anturi napsauttamalla tätä painiketta."
"deaddil dán boalu vai govvet šearpma.","napsauta tätä painiketta ottaaksesi uuden ruutukaappauksen."
"deaddil dán bovssa rievdadahttit fontabearašheivehusaid.","valitse tämä valintaruutu, jos haluat vaihtaa kirjasinperheasetuksia."
"deaddil dán bovssa rievdadahttit fontastiilaheivehusaid.","valitse tämä, jos haluat muuttaa kirjasintyylin asetuksia"
"deaddil, sirdde bajásguvlui, sirdde olgešguvlui, luoitte.","paina, siirrä ylös, siirrä vasemmalle, vapauta"
"deaddil, sirdde bajásguvlui, sirdde vulosguvlui, luoitte.","paina, siirrä ylös, siirrä alas, vapauta"
"deaddil, sirdde gurutguvlui, luoitte","paina, siirrä vasemmalle, vapauta"
"deaddil, sirdde olgešguvlui, luoitte.","paina, siirrä oikealle, vapauta"
"deaddil, sirdde vulosguvlui, luoitte.","paina, siirrä alas, vapauta"
"deaddil, sirdde vulosguvlui, sirdde bajásguvlui, luoitte.","paina, siirrä alas, siirrä ylös, vapauta"
"deaddil, sirdde vulosguvlui, sirdde bajásguvlui, sirdde vulosguvlui, luoitte.","paina, siirrä alas, siirrä ylös, siirrä alas, vapauta"
"deaddu","painotus"
"deaddu","paino"
"deaivva virolaš cealkaga","säännöllinen lause"
"deaivvai ohcanminstara","haettu merkkijono löytyi"
"deaivá buot dáid eavttuid","toteuttaa kaikki seuraavat ehdot"
"deaivá váikko makkára dáin eavttuin","toteuttaa jonkin seuraavista ehdoista"
"deamona maid kdesu geavaha","palvelin jota kdesu käyttää"
"deavdde vástádusčujuhusgietti","aseta vastausosoitteeksi"
"deavdde duogášivnniin","täytä taustan värillä"
"deavdde ovdabealivnniin","täytä edustan värillä"
"deavdindássi","täyttöaste"
"deavdá guovvluid govas","täyttää kuvan alueita"
"debian changelog","debianin muutosloki"
"debian control","debian control"
"definere iežat mime-bajilčála-gietti","määrittele omat mime-otsikot"
"definišuvdna eŋgelašgillii","määritelmä englanniksi"
"dehálaš reive","tärkeä viesti"
"dehálemus fierpmádatlakta","ensisijainen verkkoliitäntä"
"deia","dei"
"dekoden filtii. geahččal ođđasit","purkaminen epäonnistui. yritä uudestaan"
"deltagurgadus","rivien eropakkaus"
"demonstrašuvnnat","esittelyt"
"demonstrere golgi","demo liquid"
"demonstrere lásiid mat lihkadit bárrun","demo \aaltoilevat ikkunat\"
"demy octavo","demy octavo"
"demy quarto","demy quarto"
"denar","denar"
"desimehterat (dm","desimetriä (dm"
"desimála/árvu","desimaali/arvo"
"desimáladollar","dollari desimaalilukuna"
"desimálalohkoráidu (nugo 1,3, 0,34 3, 25 3 ","desimaalilukujen arvoalue (kuten 1.3, 0.34 3, 25 3"
"desimálalohku (gaskal 0 ja 1","liukulukuarvo (väliltä 0 ja 1"
"desimálalohku (nugo 1,3, 0,34 3, 25 3 ","desimaaliluku (kuten 1.3, 0.34 3, 25 3"
"desimálamearka","desimaalimerkki"
"desimálavuohkkin","desimaalisena"
"desimálaárvvut","liukulukuarvot"
"desimálaárvvut dahje árvogaska","liukulukuarvo tai liukulukuarvoväli"
"deskjet","deskjet"
"deskjet 112 0c","deskjet 112 0c"
"deskjet 31 0","deskjet 31 0"
"deskjet 32 0","deskjet 32 0"
"deskjet 34 0","deskjet 34 0"
"deskjet 40 0","deskjet 40 0"
"deskjet 50 0","deskjet 50 0"
"deskjet 50 0c","deskjet 50 0c"
"deskjet 51 0","deskjet 51 0"
"deskjet 52 0","deskjet 52 0"
"deskjet 54 0","deskjet 54 0"
"deskjet 55 0c","deskjet 55 0c"
"deskjet 56 0c","deskjet 56 0c"
"deskjet 60 0","deskjet 60 0"
"deskjet 66 0c","deskjet 66 0c"
"deskjet 67 0c","deskjet 67 0c"
"deskjet 68 0c","deskjet 68 0c"
"deskjet 69 0c","deskjet 69 0c"
"deskjet 85 0c","deskjet 85 0c"
"deskjet 85 5c","deskjet 85 5c"
"deskjet 87 0c","deskjet 87 0c"
"deskjet 89 0c","deskjet 89 0c"
"deskjet 97 0c guovttebealát ovttadagain","deskjet 97 0c kaksipuoleisyksiköllä"
"deskjet plus","deskjet plus"
"deskjet portable","deskjet portable"
"desktop csf","työpöytä csf"
"desktop exchange service","työpöytävaihtopalvelu"
"diagrámmaprográmma","kaavioidenpiirto-ohjelma"
"diakritihkalaš mearkkat goallosteapmái","yhdistyvät diakriittiset merkit"
"dibmagođus (stivrrana siste","softweave (ajurin sisäinen"
"diehto čájehuvvo","näytetään tiedottava viesti"
"diehtodieđut","tiedottava viesti"
"diehtogieđahallan","viestien käsittely"
"diehtoguovddáš","tietokeskus"
"diehtovuorká","tietokantakielet"
"diehtovuođu namma","tietokannan nimi"
"diehtovuođđogieđahallanprográmma","tulostuksenhallintasovellus"
"diehtočoahkkoheivehusat","muokkaa evästeiden toimintaa"
"diehtočoahkováruhus","evästevaroitus"
"diehtu das gos gávdno ht//dig-báhkka.","tietoja mistä voit hakea ht//dig paketin."
"diehtu 1","tietoja 1"
"dielvvasmahtima álgoárvvut","erottelun aloitusarvot"
"dielvvasmahttin, govvačuoggát dumas","pehmennys pikseliä tuumalla"
"dielvvasmahttin, čd","pehmennys ppi"
"dielvvasmahttinalgoritma","sekoitusmenetelmän algoritmi"
"diet ii leat gustojeaddji dáhton.","päivämäärä ei ole kelvollinen."
"diet ii leat gustojeaddji áigi.","aika ei ole kelvollinen."
"dievas skearroearri","sallittu levytila on täynnä."
"dievasšearbmamodus","kokonäyttötila"
"dieđa","tietokonetieteet"
"dieđa ja matematihkka","tiede ja matematiikka"
"dieđiha kdeii guossoheaddjinama rievdadusa birra","ilmoittaa kdelle muutoksesta koneennimessä."
"dieđiha paramehtera mii indeavssas mearriduvvui.","palauttaa indeksin määrittelemän parametrin."
"dieđit fuones merkoša birra","ilmoita huonosta tietueesta"
"dieđit spiehkastagain","ilmoita poikkeukset"
"dieđuid fierpmádatmáhpa birra","verkkokansion tiedot"
"dieđuid lágideaddjis","tiedot tarjoajasta"
"dieđuid vuogádatproseassaid birra","järjestelmän prosessien tietoja"
"dieđuid čoaggimin","siirretään lokiin"
"dieđut 1 birra","käyttäjän 1 tiedot"
"dieđut cjk-mearkkain","cjk-ideografien tiedot"
"dieđut fierpmádatčálána birra","verkkotulostimen tiedot"
"dieđut gaskkaldumiid birra","kansainvälistäminen"
"dieđut lassemodulas","liitännäisen tiedot"
"dieđut váilu.","joitakin tietoja puuttuu."
"dieđut válljejuvvon láse birra","valitun ikkunan tiedot"
"dieđáhusa sisdoallu ii dohkkehuvvon. 1","viestin sisältöä ei hyväksytty. 1"
"dieđálaš","tieteelliset kielet"
"diff-čoallu","diff-tuloste"
"digitalalaš govvenapperáhtta","diva videoeditori"
"digitalalaš 1","digitaali 1"
"digitalalaš 2","digitaali 2"
"digitalalaš 3","digitaali 3"
"digitalkámera prográmma","digitaalikameraohjelma"
"dihkkendiehtu","debug-tiedot"
"dihkkenguovlu","vianjäljitysalue"
"dihkkenheivehusat","vianjäljitysasetukset"
"dihkkeváidalus lea sáddejuvvon, giitu go veahkehat min.","virheraportti lähetetty, kiitos palautteestasi."
"dihtet go don ...?","tiesitkö...?"
"dihto animašuvnnat","eri animaatioita"
"dihto láse","olemassaoleva ikkuna "
"dihto áigi","määräaikana"
"diibmofrekveansa","kellotaajuus"
"diimmut","tunnit"
"diktá skriptaid rievdadit stáhtusholgga teavstta.","salli skriptien vaihtaa tilarivin tekstiä."
"diktá vaikko makkár prográmma leat vuogátdatgárccus.","mahdollistaa sovelluksen pitämisen järjestelmän upotusalueella."
"direct connect-klona","direct connect klooni"
"directshow 9","directshow 9"
"dirk müller","dirk mueller"
"divga oaidnemeahttun bargovuorus","äänimerkki näkymättömässä istunnossa"
"divga oainnus bargovuorus","äänimerkki näkyvässä istunnossa"
"divgasignála sáddejuvvui oainnus bargovuorus","äänimerkki lähetetty näkyvässä istunnossa"
"divo dan partišuvnnafálus.","kirjoita osion liitoskohta."
"divo trahppateavstta","korjaa portaittainen teksti"
"divtte badjelgeahččamiid","salli ylikirjoitus"
"divtte buot báhccanlásiid ihtit.","hyväksy kaikki ponnahdusikkunapyynnöt."
"divtte geavahit 8-bihttá","salli 8-bittiä"
"divtte gáiddus čatnusiid maid","salli myös etäyhteydet"
"divtte jaddadit","salli sammuttaminen"
"divtte láse alo leat eará lásiid bajábealde","yritä pitää ikkuna muiden ikkunoiden päällä"
"divtte láse alo leat eará lásiid vuolábealde","yritä pitää ikkuna muiden ikkunoiden alla"
"divtte prográmma ihtit buot čállinbevddiin","näytä ikkuna kaikilla työpöydillä"
"divtte prográmmaid rievdadit terminállásiid sturrodaga","salli ohjelmien muuttaa pääteikkunan kokoa"
"divtte tabuláhtormearkkaid","salli sarkainsisennykset"
"divtte terminálláse rievdadit láse sturrodaga","salli pääteohjelmien muuttaa pääteikkunan kokoa."
"divtte vuogádatgárcoprográmma rievdadit álggahanheivehusaid","käynnistysasetuksia voi muuttaa paneelin kuvakkeesta"
"divtte, hilggo","salli, kiellä"
"divvodeamit ja buoriduvvon vuolginleaktu","vikakorjauksia ja nopeampi käynnistysnopeus"
"divvomat.","virhekorjauksia"
"diŋgo","viritä itsellesi"
"diŋgo listtu","liity listalle"
"djvu-čájeheaddji","djvu-katselin"
"django html-málle","django html template"
"djibuhti franc","djibouti franc"
"do shanbe","do shanbe"
"domenagullevaš","verkkoaluekohtainen"
"doaibma '1' ii gávdno","funktiota \ 1\ ei ole olemassa"
"doaibmafállu","toimintovalikko"
"doaibmalistu 1","toimintoluettelo 1"
"doaibmanšládja (báikkálaš, nammasadji, globála","näkyvyysalueen tyyppi (paikallinen, nimiavaruus, yleinen"
"doaimmahahtti čujuhuslinnjá","muokattava sijaintipalkki"
"doaimmahangohččumat","muokkauskomennot"
"doaimmahangohččun","muokkauskomento"
"doaimmahanmolssaeavttut","muokkausasetukset"
"doaimmahanáiggi oktiibuot","muokkausaika yhteensä"
"doaimmaheamen ovtta fiilla","muokataan yhtä tiedostoa"
"doaimmat 1","muokkaa tapahtumaa 1"
"doaimmat 1 fiilaslája","muokkaa tiedostotyyppiä 1"
"doaimmat acl-merkoša","muokkaa acl-merkintää"
"doaimmat qt designerin ...","muokkaa qt designerillä..."
"doaimmat birasvariábeliid ja eará gullevaš árvvuid","muokkaa listaa ympäristömuuttujista"
"doaimmat báikemerkoša","muokkaa paikkaa"
"doaimmat dábálaš gilkora namahusformáhta","lisää muuttuja normaalin välilehden nimeen"
"doaimmat dáinna","muokkaa ohjelmalla"
"doaimmat dáinna ...","muokkaa ohjelmalla..."
"doaimmat fiilašlája","muokkaa tiedostotyyppiä"
"doaimmat geahččalemiid ja eksameniid","xemacs-editori"
"doaimmat geardduhangaskkadaga","muokkaa toistumisväliä"
"doaimmat girjemearkkaid sierra láses","muokkaa kirjanmerkkikokoelmaa erillisessä ikkunassa"
"doaimmat gohččuma","muokkaa komentoa"
"doaimmat identehta '1'","muokkaa henkilöyttä \ 1\"
"doaimmat identitehta","muokkaa henkilöyttä"
"doaimmat iešvuođaid ...","muokkaa attribuutteja..."
"doaimmat ivdnereavdadeami","liukuvärityökalu"
"doaimmat jierbmás čuojahanlisttu","muokkaa älykästä soittolistaa"
"doaimmat láseguoskevaš heivehusat","muokkaa ikkuna-asetuksia"
"doaimmat njolggobálgá","muokkaa pikavalintoja"
"doaimmat ođđa čujuhusaid ...","muokkaa viimeaikaisia osoitteita..."
"doaimmat profiilla '1'","muokkaa profiilia \ 1\"
"doaimmat spiehkastagaid","muokkaa poikkeuksia"
"doaimmat stoalpodigrámma oidimiid","muokkaa palkkigraafien asetuksia"
"doaimmat váldoprošeavtta ...","muokkaa pääprojektia..."
"doaimmat válljejuvvon ivdnečoahkkádusa","muokkaa valittua väriteemaa"
"doaimmat válljejuvvon prográmma gohččunlinnjá.","muokkaa valitun sovelluksen komentoriviä."
"doaimmat válljejuvvon skripta.","muokkaa valittua komentojonoa."
"doaimmat 'eret-kántuvrras'-dieđáhusaid ...","muokkaa poissaoloviestejä..."
"doaimmár(at","prosessori(a"
"doaimmárnoađđi","suoritinkuorma"
"doaimmát dálá profiilla ...","muokkaa nykyistä profiilia..."
"doaimmát ivdnečoahkkádusa","muokkaa väriteemaa"
"doaimmát njuolggobálggislisttu","muokkaa näppäinliitoskokoelma"
"doala vuos 1, de coahkkal 2","pidä pohjassa 1 ja paina sitten 2"
"doalat bajábealde","pidä yllä"
"doalat formáhta, ale kryptere","säilytä muotoilu, älä salaa"
"doalat vuolábealde","pidä alla"
"doalat agibeaivái","pidä ikuisesti"
"doalat aibbas čahppadin","säilytä puhdas musta"
"doalat buot artihkkaliid","säilytä kaikki artikkelit"
"doalat eallin","pidä elossa"
"doalat earáid vuolábealde","pidä muiden ikkunoiden alapuolella"
"doalat earáid bajábeallái","pidä muiden yläpuolella"
"doalat earáid vuolábeallái","pidä muiden alapuolella"
"doalat formáhta, ale vuolláičále dahje kryptere","säilytä muotoilu, älä allekirjoita/salaa"
"doalat formáhta, ale vuolláičále","säilytä muotoilu, älä allekirjoita"
"doalat krypterema","pidä salaus"
"doalat liige gaskkaid","säilytä ylimääräiset välilyönnit"
"doalat láse earáid bajábeallái","pidä ikkuna muiden ikkunoiden päällä"
"doalat láse rabas","pidä ikkuna pysyvästi"
"doalat vuolláičállaga","pidä allekirjoitus"
"doalat vuolá-/bajábealde","pidä päällimmäisenä tai alimmaisena"
"doalat álgovuolggalaš sturrodaga","säilytä alkuperäinen kuvakoko"
"doalat čoallofiillat váikkoge lihkostuvvá","säilytä tulostetiedostot myös onnistuttassa."
"doalat-eallin áigemearri","pidä elossa -aikavalvonta"
"doalet earáid vuolábealde","pidä muiden alapuolella"
"doalit gori","pidä suhde"
"doarjjakeahtes bargu.","toimenpidettä ei tueta."
"doarjjakeahtes doaibma 1","toiminto 1 ei ole tuettu"
"doarjjakeahtes čoavddasturrodat.","avainkokoa ei tueta."
"doarjjokeahtes boallu","ei-tuettu näppäin"
"dobra","dobra"
"dohkkehan molssaeavttut","varmistusvalinnat"
"dohkkehuvvon 1","hyväksynyt 1"
"dohkket automáhtalaččat bargovuoru-diehtočoahkuid","hyväksy istuntoevästeet automaattisesti"
"dohkket gielaid","hyväksytyt kielet"
"dohkket mearkaráidduid","hyväksytyt merkistöt"
"dohkálaš vuolláičála","hyvä allekirjoitus"
"dohkálaš vuolláičála","hyvä allekirjoitus."
"dokumeanta '1' lea rievdaduvvon. háliidatgo vurket dan?","tiedosto \"1\" on muuttunut. haluatko tallentaa muutokset?"
"dokumeanta '1' namas gávdno juo. háliidatgo dan buhttet?","on jo olemassa asiakirja nimeltä \"1\". haluatko korvata sen?"
"dokumeanta - 1","asiakirja - 1"
"dokumeantadieđut","asiakirjan tiedot"
"dokumeantakoden","asiakirjan merkistö"
"dokumeantalistoheivehusat","asiakirjaluettelon asetukset"
"dokumeantalistu","asiakirjalista"
"dokumeantaluohkká","asiakirjan luokka"
"dokumeantamáhppa","asiakirjakansio"
"dokumeantastiila","asiakirjan tyyli"
"dokumeanttaid maid váldit fárrui","sisällytettävä asiakirja"
"dokŋasat ja eará","korjauspäivitykset ja muuta"
"dokŋasat ja olle eará","korjauksia ja paljon muuta"
"dokŋasat ja ollu eará","paikkauksia ja muuta"
"dolla","liekit"
"dollar","dollari"
"dolphin čájehanmodusat","dolphinin näkymätilat"
"dolphin-heivehusat","dolphinin asetukset"
"dolphin-oassi","dolphin-osa"
"dolphin-reaidoholga","dolphinin työkalupalkki"
"dolphinoppalaččat","dolphin yleistä"
"dolphinčájeheapmi","dolphin-näkymä"
"domena joavku","verkkoalue ryhmä"
"domenagullevaš","verkkoaluekohtainen"
"domena-erenoamáš javascript-njuolggadusat","verkkoaluekohtaiset javascript-käytännöt"
"domenagullevaš njuolggadusat","verkkoaluekohtaiset asetukset"
"domenagullevaš njuolggadusat","verkkoaluekohtaiset käytännöt"
"domenanamma dahje numeralaš čujuhus smtp-bálvái.","smtp-palvelimen aluenimi tai numeerinen osoite."
"domenenamma","verkkoaluenimi"
"dominica","dominikaani"
"dominik haumann","dominik haumann"
"dominikána peso","dominikaanin peso"
"don fertet unnimusat mearridit ovtta gustojeaddji proxy birasvariábela.","määrittele ainakin yksi välityspalvelimen ympäristömuuttuja."
"don fertet válljet gustojeaddji oasi.","määrittele kelvollinen alue."
"don fertet válljet gustojeaddji sealla.","määritelty solu on virheellinen."
"don fertet válljet moanaid seallaid.","sinun täytyy valita useita soluja."
"don fertet válljet unnimusat ovtta tabealla.","valitse vähintään yksi taulu."
"don fertet válljet unnimusat ovtta čuoldda.","valitse vähintään yksi sarake."
"don gaskkalduhttet fiilasirdima 1","peruutit tiedostonsiirron 1"
"don it leat šat laktašuvvon.","yhteystesi on katkaistu."
"don it oaččo rievdadit dieđuid diehtovuođus.","et voi muuttaa tietokannassa olevia tietoja."
"don it sáhte luoitit máhpa iežas ala","et voi pudottaa kansiota itseensä"
"don it sáhte meroštit tabealla dás.","tässä kohdassa ei voi määritellä taulua."
"don leat dál merkejuvvon 1n.","sinut on merkitty tilaan 1."
"don leat laktašuvvon eará klienttas dahje dihtoris kontui '1'.","olet yhdistänyt toisesta asiakkaasta tai tietokoneesta tilille \"1\""
"don leat sihkkumin doaibmi árkka. hálidatgo joatkit?","olet poistamassa valittua taulua. haluatko jatkaa?"
"don sáhtát maiddái rievdadit fiilajuohkima vuoigatvuođaid.","voit asettaa myös tiedostojaon oikeuksia."
"dong","dong"
"dorjojuvvon sisaformáhtat","tuetut syötemuodot"
"dorjojuvvon effeaktamihtut w (watt), hp (heastanávccat), ps (pferdestaerke).","tuetut voimayksiköt w (watti), hp (hevosvoima), ps (pferdestaerke)."
"dorjojuvvon fápmomihtut n (newton), dyn, pound.","tuetut voimamitat n (newton), dyn, pound."
"dorjojuvvon govvenapperáhtat","tuetut kamerat"
